0,0.01401
1,0.02802
2,0.05604
3,0.11208
4,0.22416
5,0.44832
6,0.89664
7,0.20672
8,0.41344
9,0.82688
10,0.34624
11,0.69248
12,0.61504
13,0.76992
14,0.46016
15,0.92032
16,0.15936
17,0.31872
18,0.63744
19,0.72512
20,0.54976
21,0.90048
22,0.19904
23,0.39808
24,0.79616
25,0.40768
26,0.81536
27,0.36928
28,0.73856
29,0.52288
30,0.95424
31,0.09152
32,0.18304
33,0.36608
34,0.73216
35,0.53568
36,0.92864
37,0.14272
38,0.28544
39,0.57088
40,0.85824
41,0.28352
42,0.567039
43,0.865921
44,0.268158
45,0.536316
46,0.927368
47,0.145264
48,0.290527
49,0.581055
50,0.837891
51,0.324219
52,0.648438
53,0.703125
54,0.59375
55,0.8125
56,0.375
57,0.75
58,0.5
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
0
