0,0.01401
1,0.02802
2,0.0560399
3,0.11208
4,0.22416
5,0.448319
6,0.896637
7,0.206725
8,0.41345
9,0.8269
10,0.346199
11,0.692398
12,0.615203
13,0.769593
14,0.460814
15,0.921627
16,0.156746
17,0.313491
18,0.626982
19,0.746035
20,0.50793
21,0.98414
22,0.0317204
23,0.0634407
24,0.126881
25,0.253763
26,0.507525
27,0.984949
28,0.030101
29,0.0602021
30,0.120404
31,0.240808
32,0.481616
33,0.963231
34,0.0735377
35,0.147075
36,0.29415
37,0.588301
38,0.823398
39,0.353203
40,0.706407
41,0.587187
42,0.825626
43,0.348747
44,0.697494
45,0.605012
46,0.789975
47,0.420049
48,0.840099
49,0.319803
50,0.639605
51,0.720789
52,0.558421
53,0.883158
54,0.233684
55,0.467368
56,0.934735
57,0.130529
58,0.261058
59,0.522116
60,0.955767
61,0.0884666
62,0.176933
63,0.353866
64,0.707731
65,0.584537
66,0.830926
67,0.338148
68,0.676295
69,0.647409
70,0.705181
71,0.589638
72,0.820724
73,0.358553
74,0.717105
75,0.56579
76,0.868419
77,0.263162
78,0.526324
79,0.947352
80,0.105296
81,0.210591
82,0.421182
83,0.842364
84,0.315272
85,0.630544
86,0.738911
87,0.522177
88,0.955646
89,0.0887084
90,0.177417
91,0.354833
92,0.709666
93,0.580668
94,0.838664
95,0.322672
96,0.645344
97,0.709312
98,0.581377
99,0.837247
0.325507
