Name,Sex,Age,Height,Weight,Year,Event,Medal
Jamale (Djamel-) Aarrass (Ahrass-),M,30,187,76,2012,"1,500 metres",NA
Antonio Abadia Beci,M,26,170,65,2016,"5,000 metres",NA
Jos Manuel Abascal Gmez,M,22,182,67,1980,"1,500 metres",NA
Jos Manuel Abascal Gmez,M,26,182,67,1984,"1,500 metres",Bronze
Georgia Abatzidou,F,35,155,43,2004,Marathon,NA
Carlos Rodolfo Abaunza Balladares,M,18,168,60,2004,100 metres,NA
Abubakar Abbas Abbas,M,20,175,66,2016,400 metres,NA
Maher Abbas,M,22,178,78,1988,400 metres,NA
Maher Abbas,M,22,178,78,1988,800 metres,NA
Ruslan Abbasov,M,22,181,74,2008,100 metres,NA
Ali Abdalla Afringi,M,25,163,57,2008,"5,000 metres",NA
Moustafa Abdel Naser,M,21,176,74,1996,400 metres,NA
Abdalla Abdelgadir El-Sheikh,M,21,170,58,2008,"1,500 metres",NA
El-Hachemi Abdenouz,M,24,170,63,1980,"5,000 metres",NA
Rda Abdenouz,M,19,170,63,1988,800 metres,NA
Rda Abdenouz,M,23,170,63,1992,800 metres,NA
Bashir Abdi,M,27,176,56,2016,"5,000 metres",NA
Bashir Abdi,M,27,176,56,2016,"10,000 metres",NA
Talal Omar Abdillahi,M,21,170,57,1988,"10,000 metres",NA
Talal Omar Abdillahi,M,25,170,57,1992,Marathon,NA
"Abdihakim ""Abdi"" Abdirahman",M,23,178,61,2000,"10,000 metres",NA
"Abdihakim ""Abdi"" Abdirahman",M,27,178,61,2004,"10,000 metres",NA
"Abdihakim ""Abdi"" Abdirahman",M,31,178,61,2008,"10,000 metres",NA
"Abdihakim ""Abdi"" Abdirahman",M,35,178,61,2012,Marathon,NA
Hassane Abdou,M,23,185,67,1996,400 metres,NA
Brahim Daoud Abdoulaye,M,25,NA,71,1996,200 metres,NA
Maizurah Abdul Rahim,F,17,147,50,2016,200 metres,NA
Abdul Haji Abdul Latheef,M,17,168,54,1988,Marathon,NA
Dana Abdul Razak (Hussain-),F,22,163,56,2008,100 metres,NA
Dana Abdul Razak (Hussain-),F,26,163,56,2012,100 metres,NA
Fahmi Ahmed Abdul Wahab Al-Tahri,M,23,NA,NA,1988,800 metres,NA
Ahmad Hassan Abdullah,M,27,164,55,2008,"10,000 metres",NA
Mohamed Samy Abdullah,M,NA,165,65,1984,100 metres,NA
Laye Abdullayeva,F,21,170,47,2012,"5,000 metres",NA
Addis Abebe,M,21,160,50,1992,"5,000 metres",NA
Addis Abebe,M,21,160,50,1992,"10,000 metres",Bronze
Mara Abel Diguez,F,25,163,46,2000,"10,000 metres",NA
Mara Abel Diguez,F,29,163,46,2004,Marathon,NA
Alfonso Abelln Lpez,M,37,174,63,1988,Marathon,NA
Gezahgne Abera,M,22,166,58,2000,Marathon,Gold
Tesfaye Abera Dibaba,M,24,192,68,2016,Marathon,NA
Elvan Abeylegesse,F,21,159,40,2004,"1,500 metres",NA
Elvan Abeylegesse,F,21,159,40,2004,"5,000 metres",NA
Elvan Abeylegesse,F,25,159,40,2008,"5,000 metres",Silver
Elvan Abeylegesse,F,25,159,40,2008,"10,000 metres",NA
Inga Eduardovna Abitova,F,26,164,58,2008,"10,000 metres",NA
Inni Aboubacar,M,NA,NA,NA,1988,Marathon,NA
Rabah Aboud,M,31,180,64,2012,"5,000 metres",NA
Tadesse Abraham,M,33,178,61,2016,Marathon,NA
Shiny Kurisingal Abraham-Wilson,F,19,167,53,1984,800 metres,NA
Shiny Kurisingal Abraham-Wilson,F,23,167,53,1988,800 metres,NA
Shiny Kurisingal Abraham-Wilson,F,27,167,53,1992,800 metres,NA
Glen Abrahams Martnez,M,22,179,72,1984,100 metres,NA
Glen Abrahams Martnez,M,22,179,72,1984,200 metres,NA
Valery Aleksandrovich Abramov,M,23,173,61,1980,"5,000 metres",NA
Aliyah Abrams,F,19,163,53,2016,400 metres,NA
Antnio da Cunha Meneses Martins Abrantes,M,20,176,68,1988,800 metres,NA
Antnio da Cunha Meneses Martins Abrantes,M,24,176,68,1992,800 metres,NA
Antnio da Cunha Meneses Martins Abrantes,M,28,176,68,1996,800 metres,NA
Arnaldo Lus Isaas Abrantes,M,21,183,72,2008,200 metres,NA
Arnaldo Lus Isaas Abrantes,M,25,183,72,2012,200 metres,NA
rika Abril Surez,F,34,164,52,2012,Marathon,NA
rika Abril Surez,F,38,164,52,2016,Marathon,NA
Ayele Abshero Biza,M,21,168,62,2012,Marathon,NA
Mohamed Abu Abdullah,M,27,173,74,2008,100 metres,NA
Methkal Marouf Abu Drais,M,28,168,67,2012,Marathon,NA
Methkal Marouf Abu Drais,M,32,168,67,2016,Marathon,NA
Majed Abu Maraheel,M,33,180,76,1996,"10,000 metres",NA
Nagmeldin Ali Abubakr,M,18,172,63,2004,400 metres,NA
Nagmeldin Ali Abubakr,M,22,172,63,2008,400 metres,NA
Sanna Abubkheet,F,19,157,52,2004,800 metres,NA
"Folashade ""Shade"" Abugan",F,17,150,64,2008,400 metres,NA
Fartun Abukar Omar,F,18,170,58,2004,100 metres,NA
Mohammed Abukhousa,M,23,170,67,2016,100 metres,NA
Kariman Abuljadayel,F,22,180,70,2016,100 metres,NA
Shigeru Aburaya,M,27,163,51,2004,Marathon,NA
Claudia Acerenza Marez,F,22,160,55,1988,100 metres,NA
Claudia Acerenza Marez,F,22,160,55,1988,200 metres,NA
Jos Eduardo Acevedo Herrera,M,22,179,65,2008,200 metres,NA
Wilson Achia,M,25,167,52,1984,Marathon,NA
Janet Achola,F,24,167,52,2012,"1,500 metres",NA
Julius Achon,M,19,168,55,1996,"1,500 metres",NA
Julius Achon,M,23,168,55,2000,"1,500 metres",NA
Assumpta Achuo-Bei,F,20,159,55,1988,400 metres,NA
Assumpta Achuo-Bei,F,20,159,55,1988,800 metres,NA
Oliver M. Acii,F,18,167,55,1988,200 metres,NA
Leopoldo Acosta,M,22,185,61,1984,800 metres,NA
Idrissa Adam,M,27,178,79,2012,100 metres,NA
Joseph Adam,M,27,172,70,1992,400 metres,NA
Marcus Adam,M,24,182,82,1992,100 metres,NA
Marcus Adam,M,24,182,82,1992,200 metres,NA
Ahmed Adam Salah,M,30,154,64,1996,Marathon,NA
Antoine Xavier Adams,M,23,180,79,2012,100 metres,NA
Antoine Xavier Adams,M,23,180,79,2012,200 metres,NA
Antoine Xavier Adams,M,27,180,79,2016,100 metres,NA
Antoine Xavier Adams,M,27,180,79,2016,200 metres,NA
"Francis ""Frank"" Adams",M,26,169,68,1980,100 metres,NA
Liam Adams,M,29,178,64,2016,Marathon,NA
Derrick Adamson,M,26,177,72,1984,Marathon,NA
Derrick Adamson,M,30,177,72,1988,Marathon,NA
Jos Carlos Adn Arias,M,25,166,57,1992,"10,000 metres",NA
Aboukar Hassan Adani,M,20,165,59,1988,"5,000 metres",NA
Aboukar Hassan Adani,M,28,165,59,1996,"5,000 metres",NA
Mercy Addy,F,20,161,58,1984,400 metres,NA
Mercy Addy,F,32,161,58,1996,400 metres,NA
Oluwakemi 'Kemi' Adekoya,F,23,166,63,2016,400 metres,NA
Abrar Osman Adem,M,18,168,58,2012,"5,000 metres",NA
Abrar Osman Adem,M,22,168,58,2016,"5,000 metres",NA
Hoche Yaya Aden,M,21,180,47,1988,"1,500 metres",NA
Ibrahim Mohamed Aden Gedi,M,23,178,75,1996,800 metres,NA
Ibrahim Mohamed Aden Gedi,M,27,178,75,2000,"1,500 metres",NA
Jama Mohamed Aden,M,21,180,68,1984,800 metres,NA
Jama Mohamed Aden,M,21,180,68,1984,"1,500 metres",NA
Jama Mohamed Aden,M,26,180,68,1988,"1,500 metres",NA
Olapade Charles Adeniken,M,19,186,78,1988,100 metres,NA
Olapade Charles Adeniken,M,19,186,78,1988,200 metres,NA
Olapade Charles Adeniken,M,22,186,78,1992,100 metres,NA
Olapade Charles Adeniken,M,22,186,78,1992,200 metres,NA
Olapade Charles Adeniken,M,26,186,78,1996,100 metres,NA
Margaret Adetutu Adeoye,F,27,162,65,2012,200 metres,NA
Berhane Adere Debala,F,22,170,50,1996,"10,000 metres",NA
Berhane Adere Debala,F,27,170,50,2000,"10,000 metres",NA
Berhane Adere Debala,F,35,170,50,2008,Marathon,NA
Nyakisi Adero,F,30,NA,NA,2016,Marathon,NA
Isiaq Adeyanju,M,28,162,65,1988,100 metres,NA
Isiaq Adeyanju,M,28,162,65,1988,200 metres,NA
Adel Mohamed Adili,M,21,176,65,1996,Marathon,NA
Adel Mohamed Adili,M,26,176,65,2000,Marathon,NA
Hammed Adio,M,21,185,63,1980,100 metres,NA
Hammed Adio,M,21,185,63,1980,200 metres,NA
Evelyn Adiru,F,22,162,50,1984,800 metres,NA
Christopher Silas Adolf,M,24,168,59,2000,100 metres,NA
Martha Adusei,F,24,165,64,2000,100 metres,NA
Regula Aebi (-Anliker),F,22,170,58,1988,200 metres,NA
Yelena Aleksandrovna Afanasyeva (Vlasova-),F,30,164,56,1996,800 metres,NA
"Olabisi ""Bisi"" Afolabi",F,20,180,62,1996,400 metres,NA
"Olabisi ""Bisi"" Afolabi",F,24,180,62,2000,400 metres,NA
Muhammad Afzal,M,21,184,69,1988,100 metres,NA
Muhammad Afzal,M,21,184,69,1988,200 metres,NA
"Steven Kirwan ""Steve"" Agar",M,28,182,72,1996,"1,500 metres",NA
Khoudir Aggoune,M,23,175,66,2004,"5,000 metres",NA
Marc Agosta,M,36,173,60,1984,Marathon,NA
Pedro Emanuel Costa Agostinho,M,23,174,64,1988,100 metres,NA
Eric Agueh,M,24,180,72,1996,100 metres,NA
Rubn Humberto Aguiar,M,28,167,64,1984,Marathon,NA
Alessandra Aguilar Morn,F,30,165,50,2008,Marathon,NA
Alessandra Aguilar Morn,F,34,165,50,2012,Marathon,NA
Alessandra Aguilar Morn,F,38,165,50,2016,Marathon,NA
Florencio Aguilar Mejia,M,24,168,62,1984,200 metres,NA
Florencio Aguilar Mejia,M,32,168,62,1992,100 metres,NA
Domingo Omar Aguilar Cardenas,M,24,171,62,1984,"5,000 metres",NA
Domingo Omar Aguilar Cardenas,M,24,171,62,1984,"10,000 metres",NA
Domingo Omar Aguilar Cardenas,M,24,171,62,1984,Marathon,NA
Domingo Omar Aguilar Cardenas,M,28,171,62,1988,Marathon,NA
Jessica Carolina Aguilera Aguilera,F,23,167,57,2008,100 metres,NA
Gustavo Hernando Aguirre,M,23,185,75,2000,400 metres,NA
William Duilio Aguirre Villavicencio,M,29,173,65,1992,Marathon,NA
William Duilio Aguirre Villavicencio,M,33,173,65,1996,Marathon,NA
Lameck Aguta Orero,M,24,173,59,1996,Marathon,NA
Albert Agyemang,M,18,169,70,1996,200 metres,NA
Albert Agyemang,M,22,169,70,2000,200 metres,NA
Feta Ahamada,F,21,160,50,2008,100 metres,NA
Feta Ahamada,F,25,160,50,2012,100 metres,NA
Maqsood Ahmad,M,23,178,60,2000,200 metres,NA
Abdul Lahij Ahmed,M,NA,175,55,1984,Marathon,NA
Abdullah Ali Ahmed,M,26,181,73,1988,200 metres,NA
Abdullah Ali Ahmed,M,26,181,73,1988,400 metres,NA
Azneem Ahmed,M,23,169,65,2012,100 metres,NA
Mohammed Ahmed,M,21,182,56,2012,"10,000 metres",NA
Mohammed Ahmed,M,25,182,56,2016,"5,000 metres",NA
Mohammed Ahmed,M,25,182,56,2016,"10,000 metres",NA
Shamha Ahmed,F,18,150,42,2000,100 metres,NA
Ehab Fuad Ahmed Nagi,M,20,175,65,1988,100 metres,NA
Masbah Ahmmed,M,21,NA,NA,2016,100 metres,NA
Pascal Aho,M,NA,NA,NA,1980,100 metres,NA
Pascal Aho,M,NA,NA,NA,1980,200 metres,NA
Murielle Ahour,F,24,165,58,2012,100 metres,NA
Murielle Ahour,F,24,165,58,2012,200 metres,NA
Murielle Ahour,F,28,165,58,2016,100 metres,NA
Murielle Ahour,F,28,165,58,2016,200 metres,NA
Michelle-Lee Raquel Ahye,F,20,160,64,2012,100 metres,NA
Michelle-Lee Raquel Ahye,F,24,160,64,2016,100 metres,NA
Michelle-Lee Raquel Ahye,F,24,160,64,2016,200 metres,NA
Chrif Baba Aidara,M,24,177,70,1992,800 metres,NA
Chrif Baba Aidara,M,28,177,70,1996,800 metres,NA
Mehdi Aidet,M,26,172,65,1980,800 metres,NA
Mehdi Aidet,M,26,172,65,1980,"1,500 metres",NA
Mehdi Aidet,M,30,172,65,1984,"1,500 metres",NA
Michael Christopher Aish,M,24,175,60,2000,"10,000 metres",NA
Michael Christopher Aish,M,28,175,60,2004,"5,000 metres",NA
Nicolas Assat,M,24,175,61,2004,800 metres,NA
"Amina ""Mina"" At Hammou",F,22,166,52,2000,800 metres,NA
"Amina ""Mina"" At Hammou",F,26,166,52,2004,800 metres,NA
Seltana At Hammou,F,24,163,48,2004,800 metres,NA
Souad At Salem (-Mahour-Bacha),F,25,158,50,2004,"5,000 metres",NA
Souad At Salem (-Mahour-Bacha),F,25,158,50,2004,"10,000 metres",NA
Souad At Salem (-Mahour-Bacha),F,29,158,50,2008,Marathon,NA
Souad At Salem (-Mahour-Bacha),F,33,158,50,2012,Marathon,NA
Souad At Salem (-Mahour-Bacha),F,37,158,50,2016,Marathon,NA
Chioma Ajunwa (-Opara),F,24,164,57,1996,100 metres,NA
Yukiko Akaba,F,28,158,43,2008,"5,000 metres",NA
Yukiko Akaba,F,28,158,43,2008,"10,000 metres",NA
William Michael Jeffrey Akabi-Davis,M,17,187,58,1980,400 metres,NA
Kriss Kezie Uche Chukwu Duru Akabusi,M,25,185,81,1984,400 metres,NA
Mary Akinyemi (-Akinkuowo),F,25,168,62,1980,400 metres,NA
Malika Al-Akkaoui,F,24,160,49,2012,800 metres,NA
Malika Al-Akkaoui,F,28,160,49,2016,800 metres,NA
Malika Al-Akkaoui,F,28,160,49,2016,"1,500 metres",NA
Eric Akogyiram,M,23,170,68,1992,100 metres,NA
Boay Akonay,M,18,168,62,1988,"10,000 metres",NA
Kossi Casimir Akoto,M,23,167,73,1992,400 metres,NA
Kossi Casimir Akoto,M,27,167,73,1996,400 metres,NA
Maria Helene Akraka (-Henriksson),F,26,170,55,1992,"1,500 metres",NA
Aleksandr Timofeyevich Aksinin,M,25,173,67,1980,100 metres,NA
Semra Aksu (-Bayan),F,22,184,75,1984,100 metres,NA
Semra Aksu (-Bayan),F,22,184,75,1984,200 metres,NA
Serap Akta,F,24,165,46,1996,Marathon,NA
Serap Akta,F,28,165,46,2000,Marathon,NA
Shirin Akter,F,21,159,50,2016,100 metres,NA
Kozu Akutsu,M,27,162,51,1988,"10,000 metres",NA
Noah Akwu,M,21,160,74,2012,200 metres,NA
Abdul Rahman Hassan Al-Abdullah,M,18,178,65,1996,800 metres,NA
Jamal Al-Abdullah Sulaiman Sultan,M,NA,170,65,1984,200 metres,NA
Saeed Ali Al-Adhreai,M,21,171,64,2004,400 metres,NA
Abdullah Sulaiman Al-Akbary,M,23,180,75,1984,100 metres,NA
Mazoon Khalfan Saleh Al-Alawi,F,18,182,NA,2016,100 metres,NA
Tariq Ahmed Al-Amri,M,25,165,49,2016,"5,000 metres",NA
Abdullah Mohamed Amer Al-Anbari,M,22,170,60,1992,800 metres,NA
Mohamed Juma Al-Aswad Al-Makhoun,M,20,180,80,1996,200 metres,NA
Mohamed Mutlaq Khalaf Al-Azemi,M,22,178,64,2004,800 metres,NA
Mohamed Mutlaq Khalaf Al-Azemi,M,26,178,64,2008,800 metres,NA
Mohamed Mutlaq Khalaf Al-Azemi,M,30,178,64,2012,800 metres,NA
Ali Mohamed Al-Balooshi,M,17,180,60,2004,800 metres,NA
Mansour Ayoub Al-Baloushi,M,20,175,65,1988,800 metres,NA
Hamdan Awdah Al-Bishi,M,19,180,70,2000,400 metres,NA
Hamdan Awdah Al-Bishi,M,23,180,70,2004,400 metres,NA
Mohamed Fahd Al-Bishi,M,23,160,52,1988,100 metres,NA
Mohamed Fahd Al-Bishi,M,23,160,52,1988,200 metres,NA
Mohamed Hamed Al-Bishi,M,20,170,65,1996,400 metres,NA
Abdal Salam Al-Dabaji,M,25,176,64,2004,800 metres,NA
Hamoud Abdallah Said Al-Dalhami,M,32,172,65,2004,200 metres,NA
Abdullah Hussein Al-Dosari,M,27,165,54,1992,"5,000 metres",NA
Abdullah Hussein Al-Dosari,M,27,165,54,1992,"10,000 metres",NA
Mohamed Barak Al-Dosari,M,27,160,59,1988,"1,500 metres",NA
Basma Al-Eshosh,F,26,172,65,2004,100 metres,NA
Khalid Ahmed Al-Estashi,M,18,155,65,1992,"10,000 metres",NA
Mouteb Al-Faouri,M,24,178,70,1984,800 metres,NA
Mouteb Al-Faouri,M,24,178,70,1984,"1,500 metres",NA
Bahaa Al-Farra,M,21,175,65,2012,400 metres,NA
Nabil Mohammed Al-Garbi,M,18,175,65,2012,"1,500 metres",NA
Mohamad Al-Garni,M,20,179,55,2012,"1,500 metres",NA
Rakia Al-Gassra,F,21,170,65,2004,100 metres,NA
Rakia Al-Gassra,F,25,170,65,2008,200 metres,NA
Abdul Raab Al-Ghadi,M,21,170,65,1984,800 metres,NA
Ali Saleh Al-Ghadi,M,31,160,54,1984,"5,000 metres",NA
Ali Saleh Al-Ghadi,M,31,160,54,1984,"10,000 metres",NA
Shinoona Salah Al-Habsi,F,19,162,60,2012,100 metres,NA
Sulaiman Juma Obaid Al-Habsi,M,18,165,60,1988,400 metres,NA
Hussain Jamaan Al-Hamdah,M,29,NA,NA,2012,"5,000 metres",NA
Khalil Ahmed Al-Hanahneh,M,24,171,70,2004,100 metres,NA
Khalil Ahmed Al-Hanahneh,M,28,171,70,2008,200 metres,NA
Anwar Al-Harazi,M,15,170,69,1988,"5,000 metres",NA
Dalal Masfir Al-Harith,F,16,160,55,2016,400 metres,NA
Barakat Mubarak Al-Harthi,M,24,173,67,2012,100 metres,NA
Barakat Mubarak Al-Harthi,M,28,173,67,2016,100 metres,NA
Mohamed Amour Salah Al-Hashimi,M,19,170,60,1984,200 metres,NA
Mahmoud Awad Sress Al-Hasini,M,25,185,67,1992,"5,000 metres",NA
Mahmoud Awad Sress Al-Hasini,M,25,185,67,1992,"10,000 metres",NA
Mariam Mohamed Hadj Al-Hilli,F,16,NA,45,2000,100 metres,NA
Mohamed Abdullah Salim Al-Houti,M,23,172,69,1996,200 metres,NA
Mohamed Abdullah Salim Al-Houti,M,28,172,69,2000,200 metres,NA
Rashid Ismail Al-Jirbi,M,NA,171,61,1984,400 metres,NA
Abdullah Abdulaziz Al-Joud,M,37,178,60,2012,"5,000 metres",NA
Mohamed Ayed Al-Kafraini,M,25,173,65,2000,800 metres,NA
Hajar Saeed Saad Sowaid Al-Khaldi,F,21,160,45,2016,100 metres,NA
Abdullah Salem Al-Khalidi,M,30,170,66,1988,100 metres,NA
Abdullah Salem Al-Khalidi,M,30,170,66,1988,200 metres,NA
Abdullah Salem Al-Khalidi,M,34,170,66,1992,200 metres,NA
Basheer Mohamed Al-Khewani,M,18,175,68,2000,400 metres,NA
Sayed Mubarak Mufta Mubarak Al-Kuwari,M,28,183,76,1992,200 metres,NA
Noor Hussain Al-Malki,F,17,155,43,2012,100 metres,NA
Mohamed Amer Al-Rashed Al-Malky,M,21,176,62,1984,400 metres,NA
Mohamed Amer Al-Rashed Al-Malky,M,25,176,62,1988,400 metres,NA
Mohamed Amer Al-Rashed Al-Malky,M,29,176,62,1992,400 metres,NA
Enemri Najem Al-Marghani,M,NA,178,55,1980,Marathon,NA
Nader Abdullah Al-Massri,M,28,160,58,2008,"5,000 metres",NA
Ahmed Hadib Al-Moamari Bashir,M,19,170,62,1992,100 metres,NA
Abdul Majeed Al-Mosawi,M,18,165,65,1980,100 metres,NA
Riyadh Al-Mustafa,M,29,171,64,2004,Marathon,NA
Riyadh Al-Mustafa,M,33,171,64,2008,Marathon,NA
Mohamed Ahmed Amer  Al-Nahdi,M,25,175,70,1992,"1,500 metres",NA
Danah Al-Nasrallah,F,16,149,45,2004,100 metres,NA
Ali Khamis Rashid Al-Neyadi,M,22,170,72,2000,200 metres,NA
Moukheld Mahil F. Al-Outaibi,M,32,163,60,2008,"5,000 metres",NA
Moukheld Mahil F. Al-Outaibi,M,36,163,60,2012,"5,000 metres",NA
Moukheld Mahil F. Al-Outaibi,M,36,163,60,2012,"10,000 metres",NA
Moukheld Mahil F. Al-Outaibi,M,40,163,60,2016,"5,000 metres",NA
Alyan Sultan Ali Al-Qahtani,M,24,165,58,1996,"10,000 metres",NA
Haji Bakr Al-Qahtani,M,23,173,63,1988,400 metres,NA
Haji Bakr Al-Qahtani,M,23,173,63,1988,800 metres,NA
Samira Al-Raf,F,38,156,49,2012,Marathon,NA
Mohamed Al-Saadi,M,28,170,60,1996,Marathon,NA
Jamal Abdullah Al-Saffar,M,24,175,70,1996,100 metres,NA
Jamal Abdullah Al-Saffar,M,28,175,70,2000,100 metres,NA
Omar Jouma Bilal Al-Salfa,M,18,170,67,2008,200 metres,NA
Mohamed Abdullah Obaid Al-Salhi (Kosgei-),M,18,182,55,2004,800 metres,NA
Mohamed Abdullah Obaid Al-Salhi (Kosgei-),M,22,182,55,2008,800 metres,NA
Awadh Shaban bin Fateh Al-Sameer,M,23,167,60,1984,Marathon,NA
Awadh Shaban bin Fateh Al-Sameer,M,27,167,60,1988,Marathon,NA
Mayada Al-Sayad,F,23,NA,NA,2016,Marathon,NA
Fawzi Dahesh Al-Shammari,M,21,185,65,2000,400 metres,NA
Fawzi Dahesh Al-Shammari,M,25,185,65,2004,400 metres,NA
Amor Masoud Al-Sharji,M,20,178,60,1984,"1,500 metres",NA
Barakat Salim Al-Sharji,M,16,178,60,1984,800 metres,NA
Abdullah Said Al-Sooli,M,25,172,73,2008,100 metres,NA
Ibrahim Alawi Ahmed Al-Taher,M,NA,168,60,1984,Marathon,NA
Mohamed Rached Salem Al-Tunaiji,M,22,170,70,1992,800 metres,NA
Mohammed Ahmed Al-Yafaee,M,23,185,65,2008,800 metres,NA
Salem Mubarak M. Al-Yami,M,18,170,65,2000,200 metres,NA
Salem Mubarak M. Al-Yami,M,22,170,65,2004,100 metres,NA
Buthayna Eid Al-Yaqoubi,F,17,155,45,2008,100 metres,NA
Saud Al-Zaabi,M,27,NA,NA,2016,"1,500 metres",NA
Lea Alaerts,F,26,163,54,1980,200 metres,NA
"Danielle Remilekun B. ""Danni"" Alakija",F,16,182,71,2012,400 metres,NA
Mohamed Mahbub Alam,M,27,170,80,2000,200 metres,NA
Mohamed Shah Alam,M,26,168,63,1988,200 metres,NA
Yenew Alamirew Getahun,M,22,178,57,2012,"5,000 metres",NA
Souhalia Alamou,M,24,177,78,2004,100 metres,NA
Mariem Alaoui Selsouli,F,24,152,45,2008,"5,000 metres",NA
Issa Alassane-Oussni,M,27,180,76,1988,100 metres,NA
Issa Alassane-Oussni,M,27,180,76,1988,200 metres,NA
Janice Alatoa,F,23,166,55,2012,100 metres,NA
Jos Manuel Albentosa Ferrer,M,24,172,56,1988,"10,000 metres",NA
Jos Gerardo Alcala Garca,M,23,170,57,1984,"5,000 metres",NA
Aurelie Alcindor,F,22,169,47,2016,200 metres,NA
"Josip ""Jozo"" Alebi",M,33,177,72,1980,400 metres,NA
Denis Sergeyevich Alekseyev,M,20,185,76,2008,400 metres,NA
Moges Alemayehu,M,31,166,53,1980,Marathon,NA
Simretu Alemayehu,M,29,182,68,2000,Marathon,NA
Berhanu Alemu,M,18,179,63,2000,"1,500 metres",NA
Berhanu Alemu,M,22,179,63,2004,800 metres,NA
Dagne Alemu,M,19,171,58,2000,"5,000 metres",NA
Elfenesh Alemu,F,25,165,51,2000,Marathon,NA
Elfenesh Alemu,F,29,165,51,2004,Marathon,NA
Habitam Alemu,F,19,171,52,2016,800 metres,NA
J'maal Alexander,M,18,178,64,2012,100 metres,NA
Kineke Alicia Alexander,F,22,178,65,2008,400 metres,NA
Kineke Alicia Alexander,F,26,178,65,2012,400 metres,NA
Kineke Alicia Alexander,F,30,178,65,2016,400 metres,NA
"Niconnor ""Nico"" Alexander",M,23,170,69,2000,100 metres,NA
"Niconnor ""Nico"" Alexander",M,27,170,69,2004,100 metres,NA
Dias Alface,M,NA,NA,NA,1980,"10,000 metres",NA
Ahmed Ali,M,22,173,75,2016,200 metres,NA
Amos Ali,M,20,165,64,1996,200 metres,NA
Anwar Mohamed Ali,M,25,170,58,1996,400 metres,NA
Belal Mansoor Ali,M,19,170,61,2008,800 metres,NA
Belal Mansoor Ali,M,19,170,61,2008,"1,500 metres",NA
Belal Mansoor Ali,M,23,170,61,2012,"1,500 metres",NA
Ghada Ali,F,19,166,67,2008,400 metres,NA
Liaqat Ali,M,28,NA,NA,2012,100 metres,NA
Mamane Sani Ali,M,31,NA,NA,2000,100 metres,NA
Mehboob Ali,M,26,NA,NA,2016,400 metres,NA
Shifana Ali,F,20,153,52,2004,400 metres,NA
Thamer Kamal Ali,M,19,170,60,2008,"1,500 metres",NA
Zourah Mohamed Ali,F,17,162,53,2012,400 metres,NA
Fathia Ali Bouraleh,F,20,NA,NA,2008,100 metres,NA
Haissa Ali Garba,F,18,NA,NA,2000,400 metres,NA
Bibiro Ali Taher,F,28,160,44,2016,"5,000 metres",NA
Roda Ali Wais,F,16,158,52,2000,800 metres,NA
Cora Alicto,F,28,168,59,2008,100 metres,NA
Nazirdin Alikbekov,M,30,168,62,1996,Marathon,NA
Nazirdin Alikbekov,M,34,168,62,2000,Marathon,NA
Amadou Alimi,M,NA,NA,NA,1980,"5,000 metres",NA
Deji Aliu,M,20,187,75,1996,100 metres,NA
Deji Aliu,M,24,187,75,2000,100 metres,NA
Deji Aliu,M,28,187,75,2004,100 metres,NA
Adamou Allassane,M,23,180,65,1984,"1,500 metres",NA
Liliana Allen Doll (-de Martnez),F,22,170,62,1992,100 metres,NA
Liliana Allen Doll (-de Martnez),F,34,170,62,2004,100 metres,NA
Mosi Alli,F,19,159,51,1980,100 metres,NA
Mosi Alli,F,19,159,51,1980,200 metres,NA
May Allison,F,31,162,54,1996,Marathon,NA
Amandine Allou Affou,F,23,160,52,2004,100 metres,NA
Amandine Allou Affou,F,27,160,52,2008,100 metres,NA
"Jeanette M. ""Jen"" Allred (-Powless)",F,30,177,63,1992,Marathon,NA
"Rose ""Rosie"" Allwood (-Morrison)",F,27,163,54,1980,100 metres,NA
Mwalimu Ally,M,27,177,68,1980,100 metres,NA
Mwalimu Ally,M,27,177,68,1980,200 metres,NA
Miguel ngel Almachi Condo,M,27,165,55,2012,Marathon,NA
Miguel ngel Almachi Condo,M,31,165,55,2016,Marathon,NA
Rose Mary Almanza Blanco,F,20,165,53,2012,800 metres,NA
Rose Mary Almanza Blanco,F,24,165,53,2016,800 metres,NA
Amarildo Almeida,M,20,182,63,1996,100 metres,NA
Anna Aleksandrovna Alminova,F,23,165,50,2008,"1,500 metres",NA
Maria Laura Almiro,F,26,162,50,2004,400 metres,NA
Maria Laura Almiro,F,30,162,50,2008,400 metres,NA
Ana Isabel Alonso Nieto,F,25,152,46,1988,"10,000 metres",NA
Ana Isabel Alonso Nieto,F,32,152,46,1996,Marathon,NA
Ana Isabel Alonso Nieto,F,37,152,46,2000,Marathon,NA
Mohamed Alouini,M,26,183,70,1984,800 metres,NA
Mohamed Alouini,M,26,183,70,1984,"1,500 metres",NA
Ahmet Altun,M,26,168,57,1984,Marathon,NA
Ahmet Altun,M,30,168,57,1988,Marathon,NA
Ferdinand Amadi,M,21,170,60,1992,Marathon,NA
"Wilson ""William"" Amakye",M,25,178,61,1984,800 metres,NA
Mohammed Aman Geleto,M,18,165,58,2012,800 metres,NA
Mohammed Aman Geleto,M,22,165,58,2016,800 metres,NA
Alex Amankwah,M,24,NA,NA,2016,800 metres,NA
Prince Amara,M,19,180,70,1992,800 metres,NA
Aguida Fatima Amaral,F,28,148,43,2000,Marathon,NA
